side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
AND,0,0,5,5,5,2,0,5,1334,0,0,0,0,5,1334,0,0
AND,1,0,5,5,5,2,0,657,59721,6,8323,1,620,650,50778,0,0
OR,1,0,5,5,5,2,0,15,11796,0,0,0,0,15,11796,0,0
OR,1,1,0,1,0,3,0,10,2562,0,0,0,0,10,2562,0,0
OR,1,1,0,2,0,3,0,11,3132,0,0,0,0,11,3132,0,0
OR,1,1,1,2,0,3,0,18,4981,0,0,0,0,18,4981,0,0
OR,1,1,0,3,0,3,0,37,8643,0,0,0,0,37,8643,0,0
AND,1,1,0,4,0,3,0,2,1301,0,0,0,0,2,1301,0,0
OR,1,1,0,4,0,3,0,2,920,0,0,0,0,2,920,0,0
OR,1,1,1,4,0,3,0,3,766,0,0,0,0,3,766,0,0
OR,1,1,2,4,0,3,0,4,1045,0,0,0,0,4,1045,0,0
OR,1,1,3,4,0,3,0,1,384,0,0,0,0,1,384,0,0
AND,1,1,0,5,0,3,0,5,1013,0,0,0,0,5,1013,0,0
OR,1,1,4,5,0,3,0,3,1166,0,0,0,0,3,1166,0,0
OR,1,1,0,1,1,3,0,6,1372,0,0,0,0,6,1372,0,0
OR,1,1,0,2,1,3,0,17,4300,0,0,0,0,17,4300,0,0
OR,1,1,1,2,1,3,0,7,3101,0,0,0,0,7,3101,0,0
OR,1,1,0,3,1,3,0,9,2283,0,0,0,0,9,2283,0,0
AND,1,1,0,4,1,3,0,2,169,0,0,0,0,2,169,0,0
OR,1,1,0,4,1,3,0,1,368,0,0,0,0,1,368,0,0
OR,1,1,1,4,1,3,0,2,542,0,0,0,0,2,542,0,0
OR,1,1,2,4,1,3,0,3,1071,0,0,0,0,3,1071,0,0
AND,1,1,0,5,1,3,0,1,177,0,0,0,0,1,177,0,0
OR,1,1,0,1,2,3,0,4,980,0,0,0,0,4,980,0,0
OR,1,1,0,2,2,3,0,11,2937,0,0,0,0,11,2937,0,0
OR,1,1,0,3,2,3,0,11,1676,0,0,0,0,11,1676,0,0
OR,1,1,0,4,2,3,0,5,1136,0,0,0,0,5,1136,0,0
